"date","close","volume","open","high","low"
"2009/05/27","68.3000","23010010.0000","69.8000","70.6200","68.1700"
"2009/05/26","69.8100","29383980.0000","68.3900","69.9500","67.9100"
"2009/05/22","68.8300","18614600.0000","68.6200","69.6800","68.3900"
"2009/05/21","68.3900","24006580.0000","68.7200","68.9800","67.9900"
"2009/05/20","69.6100","28524190.0000","71.0000","71.3900","69.3500"
"2009/05/19","70.5200","20851460.0000","70.3100","71.1300","70.0700"
"2009/05/18","70.5000","24933960.0000","69.7400","70.7600","69.5000"
"2009/05/15","69.1100","26702690.0000","69.3100","69.7500","68.5900"
"2009/05/14","69.7600","21298050.0000","69.5200","70.0800","65.6000"
"2009/05/13","69.7700","26005690.0000","69.9800","70.5700","69.4300"
"2009/05/12","70.8200","28321430.0000","69.7700","71.2000","69.5500"
"2009/05/11","69.2700","23710410.0000","69.4800","69.6400","68.8400"
"2009/05/08","70.8000","35879750.0000","69.4000","71.2300","69.3900"
"2009/05/07","68.9300","32535120.0000","69.0000","69.0400","67.6200"
"2009/05/06","68.5800","30802470.0000","68.0400","68.6000","67.4400"
"2009/05/05","67.6500","19904160.0000","68.0800","68.3200","67.1600"
"2009/05/04","68.2000","27305490.0000","68.5000","68.9100","67.6700"
"2009/05/01","68.0100","27381050.0000","67.1300","68.0600","66.0800"
"2009/04/30","66.6700","35030650.0000","68.6400","68.7400","66.2200"
"2009/04/29","68.4400","28951020.0000","67.3200","68.6300","67.1100"
"2009/04/28","67.0800","27415780.0000","65.3600","67.7300","65.3600"
"2009/04/27","66.1300","26586840.0000","65.2900","66.6500","65.0500"
"2009/04/24","66.5700","32346170.0000","66.2100","67.0000","65.9100"
"2009/04/23","65.7100","29205790.0000","65.3100","65.7600","64.5000"
"2009/04/22","64.7500","31049880.0000","65.6400","65.8400","64.5600"
"2009/04/21","66.2300","32211010.0000","65.2900","66.2800","64.8700"
"2009/04/20","65.2900","31866020.0000","66.0200","66.4150","65.1800"
"2009/04/17","66.7500","32603310.0000","67.8400","68.0600","66.5800"
"2009/04/16","67.4100","27915310.0000","68.6100","68.6100","66.8200"
"2009/04/15","68.1400","24545540.0000","67.5900","68.5000","67.2300"
"2009/04/14","67.7000","32699720.0000","67.2400","67.9250","66.3500"
"2009/04/13","68.0200","27879420.0000","68.6400","69.0600","67.7600"
"2009/04/09","69.8400","26856960.0000","69.9500","70.4100","69.2500"
"2009/04/08","68.9600","26022150.0000","68.5700","69.5900","67.8900"
"2009/04/07","68.7100","28018080.0000","69.0300","69.2500","68.0300"
"2009/04/06","70.0500","27192870.0000","69.6600","70.4300","69.0100"
"2009/04/03","70.4400","26708770.0000","69.7600","70.7900","69.4000"
"2009/04/02","70.2500","38155080.0000","70.7300","71.1500","69.7000"
"2009/04/01","69.2300","39367410.0000","67.0400","69.4800","66.5000"
"2009/03/31","68.1000","41108830.0000","69.0400","69.3400","67.7400"
"2009/03/30","68.6300","32203100.0000","68.5400","68.8450","67.5800"
"2009/03/27","69.9800","29506360.0000","70.0500","70.6000","69.2900"
"2009/03/26","71.2300","37717860.0000","70.6800","71.4900","69.8200"
"2009/03/25","70.1600","36735070.0000","69.7000","71.1700","68.7600"
"2009/03/24","69.3800","32115150.0000","69.6000","70.6900","69.1500"
"2009/03/23","70.5300","51732840.0000","66.9900","70.8200","66.8600"
"2009/03/20","66.0900","67257200.0000","68.6400","69.4400","65.6700"
"2009/03/19","68.3300","38578740.0000","70.4000","70.4300","67.9400"
"2009/03/18","69.1700","41878180.0000","68.5100","70.0000","66.8600"
"2009/03/17","69.0900","30824740.0000","66.8100","69.2400","66.3600"
"2009/03/16","66.9700","33593050.0000","67.0400","68.2300","66.5700"
"2009/03/13","67.2000","35224570.0000","67.3900","67.6318","66.3704"
"2009/03/12","67.1500","40418460.0000","66.0100","67.4900","65.7200"
"2009/03/11","65.7700","37445490.0000","67.3800","67.9600","65.3500"
"2009/03/10","67.3900","51652010.0000","65.5900","67.4800","65.3400"
"2009/03/09","64.5700","42689600.0000","62.8800","65.9800","62.8700"
"2009/03/06","64.0300","47077110.0000","62.9800","64.5900","61.8600"
"2009/03/05","62.2200","50145880.0000","64.1800","64.5800","62.1300"
"2009/03/04","65.6800","51511380.0000","65.5600","66.5400","64.7900"
"2009/03/03","64.3600","48488260.0000","65.8400","66.1200","64.0800"
"2009/03/02","64.9100","54785560.0000","67.0000","67.4300","64.8400"
"2009/02/27","67.9000","64916210.0000","69.7900","70.2300","67.9000"
"2009/02/26","70.9500","37199460.0000","71.7700","73.4800","70.8700"
"2009/02/25","72.0500","55464320.0000","71.4000","73.4900","70.5000"
"2009/02/24","72.0900","48863370.0000","69.7200","72.2900","69.6500"
"2009/02/23","69.3000","40290240.0000","72.2500","72.8000","69.0600"
"2009/02/20","71.2300","42809030.0000","70.9400","72.2200","70.2100"
"2009/02/19","72.1600","31233280.0000","71.8700","72.9600","71.7700"
"2009/02/18","71.9400","34324250.0000","71.5100","72.5800","71.2700"
"2009/02/17","71.2800","41817230.0000","72.7200","72.9100","71.1600"
"2009/02/13","74.5900","30243920.0000","74.9900","75.5800","74.4400"
"2009/02/12","75.2200","42854020.0000","73.5700","75.2500","72.7000"
"2009/02/11","74.5800","47880530.0000","76.6100","76.7700","73.6100"
"2009/02/10","76.1400","43795410.0000","79.2800","79.6000","75.6900"
"2009/02/09","79.4800","27750030.0000","80.3900","80.5000","78.7000"
"2009/02/06","80.3400","36381270.0000","78.8100","80.4900","78.7000"
"2009/02/05","79.7800","39572390.0000","77.5700","79.9200","76.4300"
"2009/02/04","77.6600","29595460.0000","78.5500","78.8900","77.0500"
"2009/02/03","78.1200","39557350.0000","76.8500","78.6400","76.6700"
"2009/02/02","76.6900","36074320.0000","76.0600","77.1200","75.6600"
"2009/01/30","76.4800","51903660.0000","78.2500","78.8900","76.0000"
"2009/01/29","77.0000","38934100.0000","77.5800","78.0000","76.6400"
"2009/01/28","79.2500","45311780.0000","79.3700","79.6000","77.1413"
"2009/01/27","78.9200","38505800.0000","78.2700","79.4300","77.6200"
"2009/01/26","78.6000","42758290.0000","78.6750","80.1700","77.8700"
"2009/01/23","78.0400","46004750.0000","76.4000","78.8000","75.7800"
"2009/01/22","78.2300","40162780.0000","77.6900","78.9200","76.5900"
"2009/01/21","79.2600","43284510.0000","76.2550","79.3800","76.0000"
"2009/01/20","76.2900","42447050.0000","77.0800","78.6300","76.0000"
"2009/01/16","78.1000","45524190.0000","77.6200","78.4500","76.5200"
"2009/01/15","76.6600","55561160.0000","74.7000","76.7000","74.0100"
"2009/01/14","75.1000","48036640.0000","77.0400","77.3100","74.3200"
"2009/01/13","77.9200","47076230.0000","76.4600","78.3400","76.4600"
"2009/01/12","76.5400","38074880.0000","76.5400","77.5200","76.0100"
"2009/01/09","77.5700","32860040.0000","78.8800","79.2500","77.3800"
"2009/01/08","79.0900","30765610.0000","77.9100","79.5700","77.9000"
"2009/01/07","78.2500","35265420.0000","79.2500","80.1900","77.5600"
"2009/01/06","80.3000","41909210.0000","82.1400","82.7300","79.6300"
"2009/01/05","81.6300","43340080.0000","81.2700","82.4200","80.6800"
"2009/01/02","81.6400","35803630.0000","80.0600","82.1100","78.9000"
"2008/12/31","79.8300","30026390.0000","78.4200","80.5900","78.2900"
"2008/12/30","78.5900","25053760.0000","78.0200","79.2000","77.5800"
"2008/12/29","78.0200","22839850.0000","78.2800","78.5500","77.0900"
"2008/12/26","77.1900","17023940.0000","76.0400","77.4000","76.0400"
"2008/12/24","75.7800","11330440.0000","74.6200","76.1000","74.4500"
"2008/12/23","75.1000","32699820.0000","75.5000","76.3600","74.5200"
"2008/12/22","74.9100","41021900.0000","75.2100","75.8700","73.2700"
"2008/12/19","75.0200","68477550.0000","76.8000","78.3300","75.0200"
"2008/12/18","77.0000","59667630.0000","80.5550","80.9800","76.2000"
"2008/12/17","81.0600","51198120.0000","82.5700","83.2400","81.0600"
"2008/12/16","83.1400","58471100.0000","80.4100","83.6400","80.0700"
"2008/12/15","79.9500","43405050.0000","81.3200","81.5000","78.8600"
"2008/12/12","80.4500","44312900.0000","78.0400","81.0000","77.8400"
"2008/12/11","80.0200","50038920.0000","80.3300","81.9200","79.4100"
"2008/12/10","80.0700","44017050.0000","79.2200","81.7143","78.8700"
"2008/12/09","78.2000","47044860.0000","79.0200","79.6300","77.5100"
"2008/12/08","79.6000","51543910.0000","78.5900","80.0600","78.1910"
"2008/12/05","76.6000","65003710.0000","75.6700","77.9800","72.6800"
"2008/12/04","76.2700","65355470.0000","77.5400","79.0000","75.0200"
"2008/12/03","78.9300","57458090.0000","76.1600","79.4400","75.7300"
"2008/12/02","77.6100","54656630.0000","75.5900","78.0000","74.9300"
"2008/12/01","74.3100","55584730.0000","77.8900","77.9800","74.3100"
"2008/11/28","80.1500","19646690.0000","79.8600","80.4400","79.2000"
"2008/11/26","80.8900","46700990.0000","77.3800","81.0300","76.5800"
"2008/11/25","78.1100","56599920.0000","78.3900","79.5600","75.3900"
"2008/11/24","78.8000","74986320.0000","76.8200","80.2300","75.3100"
"2008/11/21","75.8100","84536710.0000","69.7800","76.2000","69.1500"
"2008/11/20","68.5100","76793720.0000","71.8400","75.4200","68.3000"
"2008/11/19","73.4200","57440900.0000","76.2000","77.1300","73.0500"
"2008/11/18","76.3300","57786590.0000","73.5000","76.9900","73.0300"
"2008/11/17","73.3800","48668300.0000","73.5000","76.4600","73.0000"
"2008/11/14","73.6800","53974020.0000","73.8000","77.7500","71.9000"
"2008/11/13","75.4100","72699110.0000","69.5400","76.5000","67.5401"
"2008/11/12","68.9300","50507790.0000","71.3500","72.2200","68.7000"
"2008/11/11","72.6500","42007470.0000","72.6500","74.1600","71.5900"
"2008/11/10","74.0200","37407850.0000","75.1000","75.8400","72.8000"
"2008/11/07","73.9500","44690930.0000","70.4800","75.5900","70.4800"
"2008/11/06","69.9600","52770070.0000","73.1200","73.8800","69.4000"
"2008/11/05","73.6900","45390850.0000","76.2500","77.3400","72.8400"
"2008/11/04","77.4900","48202430.0000","75.1300","77.9600","75.0700"
"2008/11/03","74.2900","35455990.0000","73.4500","75.1800","72.5000"
"2008/10/31","74.1200","52834970.0000","74.3700","77.3600","73.2500"
"2008/10/30","75.0500","56157190.0000","75.0000","75.7500","71.4400"
"2008/10/29","74.6500","62701950.0000","74.8700","77.9900","73.0600"
"2008/10/28","74.8600","69043170.0000","68.8700","75.4500","67.0600"
"2008/10/27","66.0900","48769620.0000","67.5800","70.9800","65.0000"
"2008/10/24","69.0400","54627720.0000","64.0100","70.9800","64.0000"
"2008/10/23","70.3900","64673920.0000","65.8800","70.3900","64.3900"
"2008/10/22","64.5700","52089030.0000","68.7400","69.3600","63.9000"
"2008/10/21","71.5000","43789100.0000","72.4500","74.3300","69.2138"
"2008/10/20","74.9900","44870950.0000","70.3700","75.0000","69.7400"
"2008/10/17","68.0400","58397930.0000","67.0500","72.4400","65.6000"
"2008/10/16","69.4500","78099610.0000","63.3100","69.6800","59.1700"
"2008/10/15","62.3500","61242420.0000","70.7600","70.7600","61.3300"
"2008/10/14","72.4600","64125010.0000","75.0500","75.6600","68.7100"
"2008/10/13","73.0800","64852650.0000","64.9000","73.7400","63.8800"
"2008/10/10","62.3600","112866100.0000","63.8600","66.0600","56.5100"
"2008/10/09","68.0000","68699510.0000","77.6000","78.4500","67.4700"
"2008/10/08","77.0000","74941210.0000","74.8500","79.3900","74.0000"
"2008/10/07","76.0700","62786520.0000","78.0000","79.8800","74.9600"
"2008/10/06","77.3200","65937140.0000","75.6500","77.5000","73.7300"
"2008/10/03","77.9400","44177160.0000","77.8500","81.7500","77.5500"
"2008/10/02","77.5000","44095740.0000","77.7700","79.4100","76.4400"
"2008/10/01","78.5800","34337070.0000","77.1900","79.2300","74.9300"
"2008/09/30","77.6600","42033740.0000","75.6200","78.6100","75.1700"
"2008/09/29","74.0600","57603610.0000","78.9200","80.0000","74.0600"
"2008/09/26","80.6500","28928780.0000","79.0300","81.0300","78.6100"
"2008/09/25","80.6700","36143550.0000","78.5400","81.3000","78.5000"
"2008/09/24","78.0300","27539260.0000","77.9500","79.5000","77.0200"
"2008/09/23","77.6900","27825170.0000","78.5700","80.5000","77.5800"
"2008/09/22","78.8800","31994360.0000","80.2000","81.8000","78.5300"
"2008/09/19","79.6100","58834870.0000","80.4900","82.0000","78.2200"
"2008/09/18","77.7500","48230850.0000","76.2900","77.7500","74.5500"
"2008/09/17","75.2800","43329900.0000","75.6000","79.1200","74.8200"
"2008/09/16","76.4300","41943780.0000","71.9900","76.7500","71.5100"
"2008/09/15","73.2500","40174330.0000","74.9400","77.9000","73.2500"
"2008/09/12","77.5000","28646220.0000","75.5200","77.7000","75.5100"
"2008/09/11","75.5600","35639250.0000","74.5600","75.7500","73.6200"
"2008/09/10","75.2500","31387450.0000","73.8800","75.8000","73.5400"
"2008/09/09","73.2600","38471920.0000","76.0700","76.9900","73.2600"
"2008/09/08","76.7700","31222890.0000","76.7600","77.5500","76.0000"
"2008/09/05","75.6200","27868760.0000","76.0000","76.3900","74.6900"
